rubro,brand,mes,campaña_exitosa,lifts_promedio
AUTOSERVICIOS,andes_origen,01,1,0.42041897638473247
AUTOSERVICIOS,andes_origen,02,1,0.6732241688702719
AUTOSERVICIOS,andes_origen,03,1,0.590717404397301
AUTOSERVICIOS,andes_origen,04,1,0.5588163042302364
AUTOSERVICIOS,andes_origen,05,1,0.39837561326134063
AUTOSERVICIOS,andes_origen,06,1,0.4582170283719324
AUTOSERVICIOS,brahma,01,1,0.30341603797718497
AUTOSERVICIOS,brahma,02,1,0.5089500197567539
AUTOSERVICIOS,brahma,03,1,0.4936225836141109
AUTOSERVICIOS,brahma,04,1,0.34725208165216437
AUTOSERVICIOS,brahma,05,1,0.4979548849189937
AUTOSERVICIOS,brahma,06,1,0.5306650999615212
AUTOSERVICIOS,budweiser,01,1,0.6644991499886773
AUTOSERVICIOS,budweiser,02,1,0.6224455459382457
AUTOSERVICIOS,budweiser,03,1,0.7679823982765807
AUTOSERVICIOS,budweiser,04,0,0.2890042318469192
AUTOSERVICIOS,budweiser,05,1,0.6164351636897336
AUTOSERVICIOS,budweiser,06,0,0.4329813999780224
AUTOSERVICIOS,corona,01,1,0.4696826528712902
AUTOSERVICIOS,corona,02,1,0.5690639857605454
AUTOSERVICIOS,otras,01,0,0.25594647734738546
AUTOSERVICIOS,otras,02,0,0.5948977285501049
AUTOSERVICIOS,otras,03,0,0.13740496947843436
AUTOSERVICIOS,otras,04,0,0.624842903777882
AUTOSERVICIOS,otras,05,1,1.1215869504599667
AUTOSERVICIOS,otras,06,0,0.9072372432104474
AUTOSERVICIOS,patagonia,01,0,0.40428793639836
AUTOSERVICIOS,patagonia,02,1,0.4685430371251406
AUTOSERVICIOS,patagonia,03,1,0.5651486133681073
AUTOSERVICIOS,patagonia,04,0,0.04889331065500909
AUTOSERVICIOS,patagonia,05,0,-0.13320443209516827
AUTOSERVICIOS,patagonia,06,0,0.06973390328282703
AUTOSERVICIOS,quilmes,01,1,0.4186941421849275
AUTOSERVICIOS,quilmes,02,1,0.7432536815858947
AUTOSERVICIOS,quilmes,03,1,0.4608359796595079
AUTOSERVICIOS,quilmes,04,1,0.5696752304020178
AUTOSERVICIOS,quilmes,05,1,0.6171161923800703
AUTOSERVICIOS,quilmes,06,1,0.45085580089761196
